Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Dacia Duster 1.0 TCe Journey,89000,PLN,Firma,Dacia,Duster,1.0 TCe Journey,2023,1 km,999 cm3,Benzyna+LPG,90 KM,SUV,Manualna,5,5,Zielony,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-0-tce-journey-lpg-od-reki-ID6Gbcce.html
Dacia Duster,89000,PLN,Firma,Dacia,Duster,,2023,1 km,999 cm3,Benzyna+LPG,101 KM,SUV,Manualna,5,5,Czarny,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-0-tce-journey-lpg-od-reki-ID6GjNPJ.html
Dacia Duster 1.0 TCe Prestige,65900,PLN,Prywatne,Dacia,Duster,1.0 TCe Prestige,2022,81 500 km,999 cm3,Benzyna+LPG,90 KM,SUV,Manualna,5,5,Pomarańczowy,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-dacia-duster-2022r-pierwsza-wlascicielka-fabryczna-instalacja-gazowa-ID6Gp2vv.html
Dacia Jogger,99799,PLN,Firma,Dacia,Jogger,,2023,1 km,999 cm3,Benzyna+LPG,110 KM,Minivan,Manualna,5,7,Zielony,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-jogger-1-0-tce-extreme-lpg-7os-od-reki-ID6GnL4d.html
Dacia Duster 1.0 TCe Journey,87500,PLN,Firma,Dacia,Duster,1.0 TCe Journey,2023,1 km,999 cm3,Benzyna+LPG,90 KM,SUV,Manualna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-0-tce-journey-lpg-od-reki-ID6GnLiV.html
Dacia Dokker 1.6 MPI 85 Ambiance,28900,PLN,Prywatne,Dacia,Dokker,1.6 MPI 85 Ambiance,2014,205 362 km,1 598 cm3,Benzyna+LPG,83 KM,Minivan,Manualna,5,5,Granatowy,Używane,Tak,Na przednie koła,"9,70 l/100km",,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-dokker-bezwypadkowy-instalacja-lpg-ID6FZcd4.html
Dacia Duster,36900,PLN,Prywatne,Dacia,Duster,,2014,92 880 km,1 598 cm3,Benzyna+LPG,105 KM,SUV,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-dacia-duster-1-6-benzyna-z-lpg-fv-vat-ekonomiczna-2wd-ID6GhPyG.html
Dacia Duster,54900,PLN,Prywatne,Dacia,Duster,,2019,129 000 km,1 332 cm3,Benzyna,130 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6GpNOf.html
Dacia Dokker Van,26000,PLN,Prywatne,Dacia,Dokker Van,,2015,178 069 km,1 598 cm3,Benzyna,102 KM,Kompakt,Manualna,5,2,Biały,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-dokker-van-dacia-dokker-van-pierwszy-wlasciciel-ID6Gelj3.html
Dacia Dokker 1.6 Ambiance Plus,19700,PLN,Prywatne,Dacia,Dokker,1.6 Ambiance Plus,2015,277 000 km,1 598 cm3,Benzyna+LPG,84 KM,Kompakt,Manualna,4,2,Biały,Używane,Tak,Na przednie koła,9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-dokker-2015r-dacia-dokker-1-6-lpg-polski-salon-pierwszy-wlasciciel-ID6GpNGX.html
Dacia Duster 1.5 dCi Prestige 4WD,65000,PLN,Prywatne,Dacia,Duster,1.5 dCi Prestige 4WD,2018,85 000 km,1 461 cm3,Diesel,110 KM,SUV,Manualna,5,5,Pomarańczowy,Używane,Tak,4x4 (dołączany automatycznie),4 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-wl-klimatronik-navi-skora-ID6Gp2aD.html
Dacia Spring Comfort Plus,24900,PLN,Prywatne,Dacia,Spring,Comfort Plus,2022,10 023 km,,Elektryczny,45 KM,Auta miejskie,Automatyczna,5,,Niebieski,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/dacia-spring-pelen-elektryk-10000km-ID6GcGKi.html
Dacia Duster,59901,PLN,Prywatne,Dacia,Duster,,2019,16 500 km,999 cm3,Benzyna,101 KM,SUV,Manualna,5,5,Inny kolor,Używane,Tak,Na przednie koła,"6,30 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-dacia-duster-orginalny-przebieg-1-wl-ID6Gj0me.html
Dacia Sandero Stepway 1.5 Blue dCi Laureate S&S,20500,PLN,Prywatne,Dacia,Sandero Stepway,1.5 Blue dCi Laureate S&S,2020,108 205 km,1 461 cm3,Diesel,95 KM,SUV,Manualna,5,,Błękitny,Używane,Tak,Na przednie koła,"4,30 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-stepway-sandero-steway-laureate-1-5-dci-95km-kamera-cofania-tempomat-klima-ID6FZRry.html
Dacia Duster,53000,PLN,Prywatne,Dacia,Duster,,2018,60 000 km,1 598 cm3,Benzyna,114 KM,SUV,Manualna,5,5,Pomarańczowy,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-z-polskiego-salonu-prywatnie-od-pierwszego-wlasciciela-ID6Gp1UE.html
Dacia Jogger 1.0 TCe Comfort,69000,PLN,Prywatne,Dacia,Jogger,1.0 TCe Comfort,2022,52 000 km,999 cm3,Benzyna,110 KM,Kombi,Manualna,5,7,Biały,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/dacia-jogger-sprzedam-zadbanego-dacie-jogger-1-0-tce-7-osobowego-polecam-ID6Gk3ON.html
Dacia Sandero 1.6 Laureate,9900,PLN,Prywatne,Dacia,Sandero,1.6 Laureate,2009,199 876 km,1 598 cm3,Benzyna,87 KM,Auta miejskie,Manualna,5,,Niebieski,Używane,Tak,Na przednie koła,10 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-benzynka-1-6mpi-87km-klima-zadbana-oplacona-warto-ID6GjHaf.html
Dacia Sandero 1.2 16V 75 Live II,16500,PLN,Prywatne,Dacia,Sandero,1.2 16V 75 Live II,2013,135 000 km,1 149 cm3,Benzyna,75 KM,Auta miejskie,Manualna,5,,Biały,Używane,Tak,,"7,60 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-1-2-16v-bezwypadek-nowy-rozrzad-super-stan-2013r-nowy-rozrzad-ID6FgV8g.html
Dacia Sandero Stepway 1.0 TCe Laureate S&S,41900,PLN,Prywatne,Dacia,Sandero Stepway,1.0 TCe Laureate S&S,2020,42 000 km,999 cm3,Benzyna+LPG,100 KM,Auta miejskie,Manualna,5,5,Szary,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-stepway-instalacja-lpg-stepway-navi-klima-ID6GeZGt.html
Dacia Logan MCV 0.9 TCE Ambiance,19900,PLN,Prywatne,Dacia,Logan,MCV 0.9 TCE Ambiance,2014,143 250 km,898 cm3,Benzyna,90 KM,Kombi,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-logan-dacia-logan-mcv-ii-ID6GpLu8.html
Dacia Spring,39900,PLN,Prywatne,Dacia,Spring,,2021,6 400 km,,Elektryczny,45 KM,Auta miejskie,Automatyczna,5,4,Srebrny,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/dacia-spring-2021rok-automat-ID6FbpWX.html
Dacia Logan,16000,PLN,Prywatne,Dacia,Logan,,2013,63 400 km,1 461 cm3,Diesel,75 KM,Sedan,Manualna,4,,Srebrny,Używane,,,"5,30 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/dacia-logan-2013rok-1-5dci-75km-ID6GiS7W.html
Dacia Duster,37500,PLN,Prywatne,Dacia,Duster,,2019,63 400 km,1 461 cm3,Diesel,115 KM,SUV,Manualna,5,,Szary,Używane,Tak,,"5,30 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-2019rok-1-5dci-115km-ID6FVABf.html
Dacia Duster,57800,PLN,Prywatne,Dacia,Duster,,2018,32 000 km,1 332 cm3,Benzyna,130 KM,SUV,Manualna,5,5,Biały,Używane,Tak,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-3130kmmaly-przebiegnavinowe-oponykamera-ID6GhKHQ.html
Dacia Sandero TCe 100 Comfort,34500,PLN,Prywatne,Dacia,Sandero,TCe 100 Comfort,2022,71 579 km,999 cm3,Benzyna+LPG,101 KM,Auta miejskie,Manualna,5,,Biały,Używane,Tak,Na przednie koła,"5,70 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-sandero-stepwaylekko-uszkodzony-zadbany-fabryczny-gaz-ID6Gp1st.html
Dacia Duster,75900,PLN,Prywatne,Dacia,Duster,,2019,80 000 km,1 598 cm3,Benzyna+LPG,114 KM,SUV,Manualna,5,5,Złoty,Używane,Tak,4x4 (dołączany ręcznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-salon-polska-1-6i-4x4-lpg-skora-klima-navi-tempomat-zamiana-ID6G8cP2.html
Dacia Dokker 1.6 Laureate,27800,PLN,Prywatne,Dacia,Dokker,1.6 Laureate,2014,140 000 km,1 598 cm3,Benzyna,84 KM,Kombi,Manualna,5,5,Granatowy,Używane,Tak,Na przednie koła,9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-dokker-1-wlasciciel-serwisowany-w-aso-ID6FzVsd.html
Dacia Duster,66666,PLN,Prywatne,Dacia,Duster,,2019,46 000 km,1 332 cm3,Benzyna,150 KM,SUV,Manualna,5,5,Bordowy,Używane,,Na przednie koła,"6,90 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-jak-nowa-pekny-kolor-faktura-vat-23-bezwypadkowa-ID6GpIpU.html
Dacia Sandero Stepway TCe 90 Prestige,26500,PLN,Prywatne,Dacia,Sandero Stepway,TCe 90 Prestige,2013,71 400 km,898 cm3,Benzyna,90 KM,Kompakt,Manualna,5,5,Bordowy,Używane,,Na przednie koła,"6,70 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-stepway-dacia-sandero-ID6Gp13o.html
Dacia Sandero Stepway,59500,PLN,Prywatne,Dacia,Sandero Stepway,,2023,12 400 km,999 cm3,Benzyna+LPG,110 KM,SUV,Manualna,5,,Niebieski,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-stepway-jak-nowy-okazyjna-cena-lpg-2023-ID6Gk3Lg.html
Dacia Sandero 1.0 TCe Essential,41500,PLN,Prywatne,Dacia,Sandero,1.0 TCe Essential,2021,84 000 km,999 cm3,Benzyna,90 KM,Auta miejskie,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-faktura-vat-salon-polska-1-wlasciciel-benzyna-gaz-kamera-alu16-ID6GjS0L.html
Dacia Sandero Stepway TCe 90 Expression +,64800,PLN,Prywatne,Dacia,Sandero Stepway,TCe 90 Expression +,2022,34 491 km,999 cm3,Benzyna+LPG,91 KM,Kompakt,Manualna,5,,Biały,Używane,,,6 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-stepway-dacia-sandero-stepway-iii-ID6GpHWP.html
Dacia Sandero 1.2 16V Access EU6,22800,PLN,Prywatne,Dacia,Sandero,1.2 16V Access EU6,2017,240 000 km,1 149 cm3,Benzyna+LPG,73 KM,Kompakt,Manualna,5,5,Brązowy,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-2-wlasciciel-lpg-brc-7l-100km-klimatyzacja-zadbany-sprawny-ID6GpHTY.html
Dacia Sandero SCe 65 Essential,27400,PLN,Prywatne,Dacia,Sandero,SCe 65 Essential,2021,9 770 km,999 cm3,Benzyna,67 KM,Kompakt,Manualna,5,5,Szary,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-benzyna-ID6GpHSh.html
Dacia Logan,35900,PLN,Prywatne,Dacia,Logan,,2018,49 462 km,998 cm3,Benzyna,73 KM,Sedan,Manualna,4,5,Brązowy,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/dacia-logan-drugi-wlasciciel-stan-bardzo-dobry-ID6Gp105.html
