Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Daewoo Lacetti 1.6 SX Cool,5200,PLN,Prywatne,Daewoo,Lacetti,1.6 SX Cool,2005,202 000 km,1 598 cm3,Benzyna,109 KM,Kompakt,Manualna,5,5,Niebieski,Używane,,Na przednie koła,"9,10 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/daewoo-lacetti-1-6-lpg-klima-ladne-z-niemiec-ID6GxTPk.html
Daewoo Espero 1.8 CD,9950,PLN,Firma,Daewoo,Espero,1.8 CD,1999,59 037 km,1 796 cm3,Benzyna,95 KM,Sedan,Manualna,4,5,Bordowy,Używane,Tak,Na przednie koła,9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daewoo-espero-59-037km-1-8-benzyna-95km-cd-salon-polska-zadbany-ID6GvM4G.html
Daewoo Evanda,5750,PLN,Firma,Daewoo,Evanda,,2004,244 000 km,1 998 cm3,Benzyna,131 KM,Sedan,Manualna,4,5,Srebrny,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/daewoo-evanda-piekna-limuzyna-2-0-16v-131km-max-opcja-jasne-skory-ID6EwcuI.html
Daewoo Tico,3100,PLN,Prywatne,Daewoo,Tico,,1998,83 600 km,796 cm3,Benzyna,41 KM,Auta małe,Manualna,5,5,Czerwony,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daewoo-tico-pierwszy-wlasciciel-niepalacy-ID6Gv6LK.html
Daewoo Lanos 1.5 SE,5200,PLN,Prywatne,Daewoo,Lanos,1.5 SE,1998,204 000 km,1 498 cm3,Benzyna,86 KM,Sedan,Manualna,4,5,Inny kolor,Używane,Tak,Na przednie koła,10 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daewoo-lanos-daewoo-lanos-1-5-se-ID6Ga7A1.html
Daewoo Nubira 1.6 SX,2900,PLN,Firma,Daewoo,Nubira,1.6 SX,1998,236 000 km,1 598 cm3,Benzyna,106 KM,Sedan,Manualna,4,5,Bordowy,Używane,Tak,Na przednie koła,8 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/daewoo-nubira-salon-polska-klimatyzacja-welury-elektryka-wazne-pt-i-oc-ID6FrcaU.html
Daewoo Matiz Style,3400,PLN,Prywatne,Daewoo,Matiz,Style,1999,93 000 km,796 cm3,Benzyna,52 KM,Auta małe,Manualna,5,5,Złoty,Używane,Tak,Na przednie koła,8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daewoo-matiz-sprzedam-daewoo-matiz-z-1999-roku-ID6GuJhx.html
Daewoo Matiz Top,7000,PLN,Prywatne,Daewoo,Matiz,Top,2007,152 764 km,796 cm3,Benzyna+LPG,52 KM,Auta małe,Manualna,5,5,Złoty,Używane,Tak,Na przednie koła,8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daewoo-matiz-jedyny-taki-na-sto-5-lat-jazdy-bez-wkladu-gaz-do-2029r-ID6GcZNq.html
Daewoo Matiz Joy,2800,PLN,Prywatne,Daewoo,Matiz,Joy,2000,175 400 km,796 cm3,Benzyna+LPG,52 KM,Auta małe,Manualna,5,5,Niebieski,Używane,Tak,Na przednie koła,8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daewoo-matiz-daewoo-matiz-b-g-stan-dobry-ID6GxJ08.html
Daewoo Matiz Joy,3500,PLN,Prywatne,Daewoo,Matiz,Joy,2000,260 000 km,796 cm3,Benzyna,52 KM,Auta małe,Manualna,5,5,Inny kolor,Używane,Tak,Na przednie koła,8 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/daewoo-matiz-zadbany-z-klimatyzacja-i-wspomaganiem-kier-ID6GkQqp.html
