Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Jaguar E-Pace 2.0 i4P AWD R-Dynamic SE,129500,PLN,Prywatne,Jaguar,E-Pace,2.0 i4P AWD R-Dynamic SE,2020,33 000 km,1 998 cm3,Benzyna,249 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (stały),9 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/jaguar-e-pace-jaguar-e-pace-p250-awd-navi-panorama-ID6GpIbv.html
Jaguar F-Pace 2.0 i4D AWD Prestige,115000,PLN,Prywatne,Jaguar,F-Pace,2.0 i4D AWD Prestige,2017,194 500 km,1 999 cm3,Diesel,180 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,4x4 (dołączany automatycznie),6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jaguar-f-pace-salon-pl-bezwypadkowy-special-edition-bez-wkladu-ID6GpHZM.html
Jaguar E-Pace,100000,PLN,Prywatne,Jaguar,E-Pace,,2018,95 000 km,1 999 cm3,Diesel,150 KM,SUV,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jaguar-e-pace-ogloszenie-prywatne-salon-polska-ID6F0uZw.html
Jaguar XK,62900,PLN,Prywatne,Jaguar,XK,,1997,99 300 km,3 996 cm3,Benzyna,284 KM,Coupe,Automatyczna,2,4,Beżowy,Używane,Tak,Na tylne koła,17 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/jaguar-xk-jaguar-xk8-coup-1997-4-0-v8-ID6GpHzM.html
Jaguar XF,17900,PLN,Prywatne,Jaguar,XF,,2011,333 000 km,2 179 cm3,Diesel,200 KM,Sedan,Automatyczna,4,,Granatowy,Używane,,,"6,10 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/jaguar-xf-ID6GpHrm.html
Jaguar XJ,20000,PLN,Prywatne,Jaguar,XJ,,1995,408 386 km,3 239 cm3,Benzyna+LPG,210 KM,Sedan,Automatyczna,4,5,Zielony,Używane,Tak,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/jaguar-xj-sprzedam-jaguar-xj6-x300-3-2-lpg-ID6GpHo0.html
Jaguar S-Type R,35000,PLN,Prywatne,Jaguar,S-Type,R,2003,187 000 km,4 196 cm3,Benzyna,395 KM,Sedan,Automatyczna,4,5,Srebrny,Używane,Tak,Na tylne koła,18 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/jaguar-s-type-jaguar-s-type-4-2r-supercharged-ID6GpHbA.html
Jaguar XE 2.0 D AWD R-Sport,67900,PLN,Prywatne,Jaguar,XE,2.0 D AWD R-Sport,2016,220 000 km,1 999 cm3,Diesel,180 KM,Sedan,Automatyczna,4,5,Biały,Używane,Tak,4x4 (dołączany automatycznie),5 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/jaguar-xe-jaguar-xe-r-sport-ID6Ft3EV.html
Jaguar F-Pace,99999,PLN,Firma,Jaguar,F-Pace,,2018,105 650 km,1 999 cm3,Diesel,180 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/jaguar-f-pace-20d-awd-prestige-salon-pl-bezwypadkowy-fv-23-ID6GjHzH.html
Jaguar F-Type 2.0 Turbo R-Dynamic,165000,PLN,Prywatne,Jaguar,F-Type,2.0 Turbo R-Dynamic,2018,17 000 km,1 997 cm3,Benzyna,300 KM,Coupe,Automatyczna,2,2,Czarny,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/jaguar-f-type-samochod-po-wymianach-oleju-i-filtrow-stan-idealny-ID6Gp00j.html
Jaguar F-Pace 2.0 i4D RWD Pure,89800,PLN,Prywatne,Jaguar,F-Pace,2.0 i4D RWD Pure,2017,101 000 km,1 999 cm3,Diesel,180 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (stały),6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jaguar-f-pace-salon-polska-serwisowany-w-aso-niski-przebieg-180km-ID6Fqrj2.html
Jaguar F-Pace 5.0 V8 P550 AWD SVR,"553340,78",PLN,Firma,Jaguar,F-Pace,5.0 V8 P550 AWD SVR,2022,24 000 km,5 000 cm3,Benzyna,550 KM,SUV,Automatyczna,5,5,Czarny,Używane,,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jaguar-f-pace-ogloszenie-dotyczy-cesji-leasingu-podano-ceny-netto-ID6FNguZ.html
Jaguar F-Pace 2.0 P250 mHEV AWD R-Dynamic SE,329000,PLN,Firma,Jaguar,F-Pace,2.0 P250 mHEV AWD R-Dynamic SE,2023,28 000 km,1 997 cm3,Benzyna,249 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,4x4 (stały),,,,,https://www.otomoto.pl/osobowe/oferta/jaguar-f-pace-ID6GelRL.html
Jaguar XE 2.0 D AWD Prestige,93900,PLN,Prywatne,Jaguar,XE,2.0 D AWD Prestige,2019,122 000 km,1 999 cm3,Diesel,241 KM,Sedan,Automatyczna,4,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jaguar-xe-jaguar-xe-2-0d-awd-241-km-ID6GkpUM.html
