Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Lancia Ypsilon,6800,PLN,Prywatne,Lancia,Ypsilon,,2008,195 000 km,1 248 cm3,Diesel,75 KM,Auta miejskie,Manualna,3,5,Czarny,Używane,Tak,Na przednie koła,5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lancia-ypsilon-pierwszy-wlasciciel-w-polsce-ID6Gbdcx.html
Lancia Ypsilon Y 1.3 16v Multijet Oro,8200,PLN,Prywatne,Lancia,Ypsilon,Y 1.3 16v Multijet Oro,2008,217 000 km,1 248 cm3,Diesel,75 KM,Auta miejskie,Manualna,3,4,Brązowy,Używane,Tak,Na przednie koła,"5,40 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/lancia-ypsilon-lancia-ypsilon-1-3-diesel-ID6GfsNE.html
Lancia Phedra 2.2JTD 16V Emblema,7590,PLN,Prywatne,Lancia,Phedra,2.2JTD 16V Emblema,2004,350 000 km,2 179 cm3,Diesel,128 KM,Minivan,Manualna,5,7,Srebrny,Używane,Tak,Na przednie koła,10 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/lancia-phedra-7-osobowa-ID6GixsW.html
Lancia Musa 1.4 16V Platino,8000,PLN,Prywatne,Lancia,Musa,1.4 16V Platino,2007,215 000 km,1 368 cm3,Benzyna,95 KM,Minivan,Manualna,5,5,Złoty,Używane,Tak,Na przednie koła,8 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/lancia-musa-sprzedam-lancie-musse-ID6Gofyl.html
Lancia Kappa Coupe 2.4,19900,PLN,Firma,Lancia,Kappa,Coupe 2.4,1998,247 940 km,2 446 cm3,Benzyna,175 KM,Coupe,Manualna,2,5,Czarny,Używane,Tak,Na przednie koła,15 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/lancia-kappa-kappa-coupe-2-4-ID6G8yQt.html
Lancia Ypsilon,21700,PLN,Firma,Lancia,Ypsilon,,2012,113 000 km,875 cm3,Benzyna,85 KM,Auta miejskie,Manualna,5,5,Czarny,Używane,,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/lancia-ypsilon-benzyna-85km-sliczna-klimatyzacja-gwarancja-auto-deal-pila-ID6GoY2Q.html
Lancia Ypsilon 1.2 8V Platino (5 os.),19999,PLN,Firma,Lancia,Ypsilon,1.2 8V Platino (5 os.),2011,106 000 km,1 242 cm3,Benzyna,70 KM,Auta miejskie,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lancia-ypsilon-lift-1-2-5-drzwi-climatronik-parktronik-oryginal-ID6GjOJ5.html
Lancia Ypsilon 1.3 SMomoDesign (4os.),8900,PLN,Prywatne,Lancia,Ypsilon,1.3 SMomoDesign (4os.),2007,205 000 km,1 248 cm3,Diesel,105 KM,Kompakt,Manualna,3,4,Czarny,Używane,Tak,Na przednie koła,5 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lancia-ypsilon-lancia-ypsilon-momo-design-ID6GoxaB.html
Lancia Delta,56000,PLN,Prywatne,Lancia,Delta,,1992,22 683 km,1 581 cm3,Benzyna,90 KM,Kompakt,Manualna,5,5,Granatowy,Używane,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/lancia-delta-lancia-delta-lx-1-5-22tys-km-stan-idealny-samochod-jak-nowy-ID6FZ4e1.html
Lancia Thema,139999,PLN,Prywatne,Lancia,Thema,,1987,95 000 km,2 927 cm3,Benzyna,215 KM,Sedan,Manualna,4,5,Bordowy,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/lancia-thema-8-32-by-ferrari-w-rewelacyjnym-stanie-ID6GoXpj.html
