Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Fiat Doblo II 1.3 JTD Family,17220,PLN,Prywatne,Fiat,Doblo,II 1.3 JTD Family,2011,177 843 km,1 248 cm3,Diesel,84 KM,Minivan,Manualna,5,5,Niebieski,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-doblo-fiat-doblo-2011r-1-3-diesel-75km-zarejestrowany-drugi-wlasciciel-ID6GmG0W.html
Fiat Tipo 1.4 16v Pop,44900,PLN,Firma,Fiat,Tipo,1.4 16v Pop,2018,91 600 km,1 368 cm3,Benzyna+LPG,95 KM,Sedan,Manualna,4,5,Szary,Używane,Tak,Na przednie koła,7 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/fiat-tipo-lpg-tylne-czujniki-parkowania-tempomat-hyundai-margo-ID6GjYZy.html
Fiat Scudo,12300,PLN,Prywatne,Fiat,Scudo,,2011,450 000 km,1 997 cm3,Diesel,120 KM,Minivan,Manualna,4,3,Biały,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/fiat-scudo-pierwszy-wlasciciel-ID6GnDrR.html
Fiat Spider Europa,9000,PLN,Firma,Fiat,Spider Europa,,2017,14 068 km,1 368 cm3,Benzyna,1 KM,Kabriolet,Automatyczna,2,2,Brązowy,Używane,,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/fiat-spider-europa-fiat-124-spider-2017-ID6GnFF9.html
Fiat Grande Punto 1.4 8V Dynamic,13900,PLN,Prywatne,Fiat,Grande Punto,1.4 8V Dynamic,2008,177 000 km,1 368 cm3,Benzyna,77 KM,Kompakt,Manualna,3,5,Czarny,Używane,Tak,Na przednie koła,"7,50 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/fiat-grande-punto-idealny-klima-opony-wielosezonowe-tylko-177ooo-km-1-4-benzyna-elektry-ID6GoJaZ.html
Fiat Tipo 1.4 16v Easy,52900,PLN,Firma,Fiat,Tipo,1.4 16v Easy,2020,53 000 km,1 368 cm3,Benzyna,95 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-tipo-fiat-tipo-1-4-16v-easy-ID6GmFVq.html
Fiat 500X 1.0 Cult,84900,PLN,Firma,Fiat,500X,1.0 Cult,2023,5 km,999 cm3,Benzyna,120 KM,SUV,Manualna,5,5,Biały,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-500x-fiat-500x-1-0-t3-120-km-gwarancja-fvat-23-ID6FV0Ud.html
Fiat Croma 1.9 JTD Active,4100,PLN,Firma,Fiat,Croma,1.9 JTD Active,2006,180 000 km,1 910 cm3,Diesel,150 KM,Kombi,Manualna,5,,Inny kolor,Używane,,Na przednie koła,8 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/fiat-croma-1-9d-2006-navi-hak-francja-ID6FXcI2.html
Fiat Tipo,46900,PLN,Firma,Fiat,Tipo,,2021,45 420 km,1 368 cm3,Benzyna,95 KM,Sedan,Manualna,4,5,Brązowy,Używane,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-tipo-sedan-1-4-95km-pakiet-komfort-uconnect-faktura-vat23-ID6GnFIE.html
Fiat 500X 1.5 T4 Hybrid Cross DCT,121000,PLN,Firma,Fiat,500X,1.5 T4 Hybrid Cross DCT,2023,1 km,1 469 cm3,Benzyna,130 KM,SUV,Automatyczna,5,5,Biały,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-500x-fiat-500x-od-reki-doposazony-full-led-ID6Fp3QU.html
Fiat Tipo,46900,PLN,Firma,Fiat,Tipo,,2021,32 950 km,1 368 cm3,Benzyna,95 KM,Sedan,Manualna,4,5,Brązowy,Używane,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-tipo-sedan-1-4-95km-pakiet-komfort-uconnect-faktura-vat23-ID6GnFH8.html
Fiat Talento,133947,PLN,Firma,Fiat,Talento,,2018,132 000 km,1 598 cm3,Diesel,145 KM,Minivan,Manualna,4,9,Srebrny,Używane,,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/fiat-talento-panorama-9-osob-alufelgi-2xboczne-drzwi-ekran-dotykowy-nawiewy-tyl-ID6GhYFo.html
Fiat Panda,67500,PLN,Firma,Fiat,Panda,,2024,5 km,999 cm3,Hybryda,70 KM,Kompakt,Manualna,5,5,Biały,Nowe,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-panda-cross-1-0-70km-hybryda-dostepny-maj-czerwiec-ID6FYMfh.html
Fiat Scudo,32900,PLN,Firma,Fiat,Scudo,,2009,258 000 km,1 997 cm3,Diesel,120 KM,Minivan,Manualna,4,9,Biały,Używane,,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/fiat-scudo-9-osobowy-ID6GnFFJ.html
Fiat Tipo,88500,PLN,Firma,Fiat,Tipo,,2022,1 km,999 cm3,Benzyna,100 KM,Kombi,Manualna,5,5,Pomarańczowy,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-tipo-fiat-tipo-cross-sw-wysokie-wyposazenie-ID6Fir2L.html
Fiat Tipo,46900,PLN,Firma,Fiat,Tipo,,2021,35 673 km,1 368 cm3,Benzyna,95 KM,Sedan,Manualna,4,5,Brązowy,Używane,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-tipo-sedan-1-4-95km-pakiet-komfort-uconnect-faktura-vat23-ID6GnFC9.html
Fiat 500,54900,PLN,Firma,Fiat,500,,2021,33 296 km,999 cm3,Benzyna,70 KM,Auta małe,Manualna,3,4,Czerwony,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-500-dolcevita-mhev-panorama-salon-pl-1-wl-fv-23-gwarancja-dostawa-ID6Gp96p.html
Fiat Strada 1.3 Adventure,16900,PLN,Prywatne,Fiat,Strada,1.3 Adventure,2009,110 000 km,1 248 cm3,Diesel,95 KM,Kombi,Manualna,2,,Biały,Używane,Tak,,"6,50 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/fiat-strada-fiat-strada-1-3-2009-rok-111-tys-przebiegu-pickup-klima-ID6GowIf.html
