Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
SsangYong Korando 2.0 e-XDi Sapphire 2WD,27900,PLN,Prywatne,SsangYong,Korando,2.0 e-XDi Sapphire 2WD,2011,149 000 km,1 998 cm3,Diesel,175 KM,SUV,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/ssangyong-korando-navi-kamera-skory-szyberdach-podgrzewane-siedzenia-ID6GeBI3.html
SsangYong Tivoli 1.5 T-GDI Adventure,104900,PLN,Firma,SsangYong,Tivoli,1.5 T-GDI Adventure,2023,2 km,1 497 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Biały,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-tivoli-adventure-165-km-automat-5-lat-gwarancji-wyprzedaz-2023-ID6G3QZE.html
SsangYong Torres,175900,PLN,Firma,SsangYong,Torres,,2023,3 200 km,1 497 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Srebrny,Używane,Tak,4x4 (dołączany automatycznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-torres-automat-4x4-wild-demonstracyjny-10-lat-gwarancji-ID6G1Ojw.html
SsangYong Korando 1.5 T-GDI Quartz 2WD,124000,PLN,Firma,SsangYong,Korando,1.5 T-GDI Quartz 2WD,2023,2 km,1 497 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Biały,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-korando-automat-163km-rabat-dla-grup-zawodowych-ID6Ge17u.html
SsangYong Tivoli 1.5 T-GDI Crystal,75000,PLN,Prywatne,SsangYong,Tivoli,1.5 T-GDI Crystal,2022,8 300 km,1 497 cm3,Benzyna+LPG,163 KM,SUV,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/ssangyong-tivoli-ssangyong-tivoli-fabryczny-gaz-ID6FYYhH.html
SsangYong Korando 1.5 T-GDI Quartz 2WD,125800,PLN,Firma,SsangYong,Korando,1.5 T-GDI Quartz 2WD,2023,8 km,1 497 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-korando-korando-quartz-at-pakiet-winter-1-5t-gdi-163km-rocznik-2023-ID6GlPEJ.html
SsangYong Kyron 200 Xdi Elegance +,17400,PLN,Prywatne,SsangYong,Kyron,200 Xdi Elegance +,2008,286 000 km,1 998 cm3,Diesel,141 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-kyron-lift-2-0-xdi-141km-2008r-oferta-prywatna-ID6GotJj.html
SsangYong REXTON 270 Xdi Standard,11500,PLN,Prywatne,SsangYong,REXTON,270 Xdi Standard,2005,289 789 km,2 696 cm3,Diesel,164 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),12 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/ssangyong-rexton-wiecej-informacji-udziele-pod-numerem-telefonu-734117233-ID6GpRg0.html
SsangYong Torres 1.5 T-GDI Wild,182010,PLN,Firma,SsangYong,Torres,1.5 T-GDI Wild,2023,10 km,1 497 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-torres-wild-skora-el-klapa-automat-ID6GaawS.html
SsangYong Korando 1.5 T-GDI Quartz 4WD,139900,PLN,Firma,SsangYong,Korando,1.5 T-GDI Quartz 4WD,2023,5 km,1 497 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Szary,Nowe,,4x4 (dołączany automatycznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-korando-1-5-t-gdi-quartz-4wd-winter-safety-demo-ID6FZdKg.html
