Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
RAM 1500 5.7 Crew Cab Laramie,435999,PLN,Firma,RAM,1500,5.7 Crew Cab Laramie,2023,20 km,5 654 cm3,Benzyna,399 KM,SUV,Automatyczna,4,5,Czarny,Nowe,,4x4 (dołączany automatycznie),21 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/ram-1500-my-2024-night-edition-5-7l-hemi-v8-ID6GjWf9.html
RAM Inny,149000,PLN,Prywatne,RAM,Inny,,2023,6 250 km,3 604 cm3,Benzyna+LPG,298 KM,Minivan,Automatyczna,2,,Biały,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/ram-ram-promaster-3-6l-automat-gaz-brc-ID6GoB7Z.html
RAM 1500 Crew Cab Rebel,169000,PLN,Prywatne,RAM,1500,Crew Cab Rebel,2018,100 440 km,5 654 cm3,Benzyna+LPG,401 KM,SUV,Automatyczna,4,,Srebrny,Używane,Tak,4x4 (dołączany ręcznie),"18,10 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/ram-1500-dodge-ram-1500-rebel-5-7-gaz-stag-zadbany-ID6GopfD.html
RAM 1500,385000,PLN,Prywatne,RAM,1500,,2021,41 000 km,6 200 cm3,Benzyna,702 KM,SUV,Automatyczna,4,,Niebieski,Używane,Tak,,18 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/ram-1500-trx-700-km-ID6G36nz.html
RAM 1500 Quad Cab Longbed Laramie,209000,PLN,Firma,RAM,1500,Quad Cab Longbed Laramie,2020,83 000 km,5 654 cm3,Benzyna,401 KM,SUV,Automatyczna,4,,Czarny,Używane,,4x4 (dołączany ręcznie),"21,40 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/ram-1500-ram-1500-larami-4x4-wentylowane-fotele-ID6GnXzF.html
RAM 1500 Crew Cab Limited,98700,PLN,Firma,RAM,1500,Crew Cab Limited,2021,71 422 km,5 654 cm3,Benzyna,401 KM,SUV,Automatyczna,4,1,Czerwony,Używane,,4x4 (dołączany ręcznie),"18,10 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/ram-1500-ram-1500-ID6GmwHc.html
RAM 1500 5.7 Crew Cab Longbed Laramie Chrome,195000,PLN,Prywatne,RAM,1500,5.7 Crew Cab Longbed Laramie Chrome,2019,60 000 km,5 654 cm3,Benzyna+LPG,399 KM,SUV,Automatyczna,4,5,Bordowy,Używane,Tak,4x4 (dołączany automatycznie),21 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/ram-1500-ID6FjIjf.html
RAM 1500,51000,PLN,Firma,RAM,1500,,2022,188 km,5 654 cm3,Benzyna,399 KM,SUV,Automatyczna,4,3,Czarny,Nowe,,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/ram-1500-ram-1500-2018-4x4-3-6l-ID6Gp6sZ.html
RAM 1500 Crew Cab Rebel,245900,PLN,Prywatne,RAM,1500,Crew Cab Rebel,2021,22 000 km,5 654 cm3,Benzyna,401 KM,SUV,Automatyczna,4,5,Czarny,Używane,Tak,4x4 (dołączany ręcznie),"18,10 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/ram-1500-ram-1500-rebel-piekny-duzy-ekran-ID6FC0xv.html
RAM 1500 5.7 Crew Cab Limited,448999,PLN,Prywatne,RAM,1500,5.7 Crew Cab Limited,2024,10 000 km,5 654 cm3,Benzyna,399 KM,SUV,Automatyczna,4,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),21 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ram-1500-ram-1500-limited-red-pneumatyka-fv-vat-23-dach-szklany-ID6Gmw6D.html
