Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Jeep Grand Cherokee Gr 3.0 CRD Limited,27900,PLN,Prywatne,Jeep,Grand Cherokee,Gr 3.0 CRD Limited,2006,391 000 km,2 987 cm3,Diesel,217 KM,SUV,Automatyczna,5,5,Czarny,Używane,,,13 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/jeep-grand-cherokee-jeep-grand-cherokee-ID6GolZ3.html
Jeep Grand Cherokee Gr 3.6 V6 Overland,126900,PLN,Prywatne,Jeep,Grand Cherokee,Gr 3.6 V6 Overland,2018,159 300 km,3 604 cm3,Benzyna+LPG,286 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (stały),14 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/jeep-grand-cherokee-jeep-grand-cherokee-wk2-2018r-benzyna-lpg-hak-ID6G8Fdy.html
Jeep Inny,199900,PLN,Firma,Jeep,Inny,,2023,5 km,,Elektryczny,156 KM,SUV,Automatyczna,5,5,Inny kolor,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-altitude-bev-156km-demo-2023-ID6G31zv.html
Jeep Inny,199900,PLN,Firma,Jeep,Inny,,2023,5 km,,Elektryczny,156 KM,SUV,Automatyczna,5,5,Inny kolor,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-altitude-bev-156km-demo-ID6GaKmy.html
Jeep Wrangler GME 2.0 Turbo Sport,73500,PLN,Prywatne,Jeep,Wrangler,GME 2.0 Turbo Sport,2021,39 735 km,1 995 cm3,Benzyna,270 KM,SUV,Automatyczna,3,,Biały,Używane,Tak,,11 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/jeep-wrangler-2-0-l-sprowadzony-jezdzacy-ID6GolT6.html
Jeep Wrangler Unlimited GME 2.0 Turbo Sahara,314500,PLN,Firma,Jeep,Wrangler,Unlimited GME 2.0 Turbo Sahara,2024,21 km,1 995 cm3,Benzyna,272 KM,SUV,Automatyczna,5,,Czerwony,Nowe,,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-wrangler-gme-2-0-turbo-sahara-ID6GolRm.html
Jeep Compass,149900,PLN,Firma,Jeep,Compass,,2023,5 km,1 469 cm3,Hybryda,150 KM,SUV,Automatyczna,5,5,Niebieski,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-compass-limited-1-5-e-hybrid-150km-dct7-blue-shade-demo-ID6GmtLc.html
Jeep Renegade 1.4 MultiAir Longitude FWD S&S,61900,PLN,Firma,Jeep,Renegade,1.4 MultiAir Longitude FWD S&S,2015,90 687 km,1 368 cm3,Benzyna,140 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/jeep-renegade-krajowy-1-wl-1-4-140km-multiair-longitude-fwd-gwarancja-tempomat-ID6GnR70.html
Jeep Wrangler,349900,PLN,Firma,Jeep,Wrangler,,2023,2 890 km,1 995 cm3,Hybryda,380 KM,SUV,Automatyczna,4,5,Biały,Używane,,4x4 (stały),,,,,https://www.otomoto.pl/osobowe/oferta/jeep-wrangler-rubicon-4xe-2023r-2-0-381-km-ID6GnRDe.html
Jeep Cherokee 4.0 Limited,35900,PLN,Prywatne,Jeep,Cherokee,4.0 Limited,1998,154 000 km,3 960 cm3,Benzyna,178 KM,SUV,Automatyczna,5,5,Zielony,Używane,Tak,4x4 (dołączany automatycznie),20 l/100km,Tak,,Tak,https://www.otomoto.pl/osobowe/oferta/jeep-cherokee-zadbany-automat-przyjmuje-oferty-cena-do-negocjacji-ID6Gmt6Z.html
Jeep Wrangler 4.0 Sport,52000,PLN,Prywatne,Jeep,Wrangler,4.0 Sport,1998,220 000 km,3 964 cm3,Benzyna,176 KM,SUV,Automatyczna,2,,Bordowy,Używane,Tak,4x4 (dołączany automatycznie),18 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/jeep-wrangler-wrangler-tj-usa-4x4-ID6Gjhpg.html
Jeep Renegade,54600,PLN,Firma,Jeep,Renegade,,2016,179 000 km,1 998 cm3,Diesel,140 KM,SUV,Manualna,5,5,Czerwony,Używane,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-renegade-2-0-mtj-140-4x4-kamera-cofania-ID6GpjAj.html
