Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Porsche Cayenne Platinum Edition,160000,PLN,Prywatne,Porsche,Cayenne,Platinum Edition,2017,53 240 km,3 598 cm3,Benzyna,300 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),"13,20 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/porsche-cayenne-porsche-cayenne-2017-czarny-3-6l-bardzo-maly-przebieg-ID6GmROg.html
Porsche Panamera PDK,112000,PLN,Prywatne,Porsche,Panamera,PDK,2010,112 000 km,3 605 cm3,Benzyna,310 KM,Sedan,Automatyczna,5,4,Czarny,Używane,,,13 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/porsche-panamera-ID6Gk4Qa.html
Porsche Cayenne Turbo,173400,PLN,Prywatne,Porsche,Cayenne,Turbo,2014,173 000 km,4 806 cm3,Benzyna,520 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),15 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-cayenne-fv-23-brutto-salon-polska-bezwypadkowy-serwis-aso-lellek-lift-ID6GbuKb.html
Porsche 911 Turbo S,599900,PLN,Firma,Porsche,911,Turbo S,2017,51 870 km,3 800 cm3,Benzyna,581 KM,Coupe,Automatyczna,2,4,Biały,Używane,Tak,4x4 (stały),11 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/porsche-911-turbo-s-panorama-burmester-folia-ppf-ceramika-mapa-na-640km-ID6Gl2AV.html
Porsche Cayenne,69900,PLN,Prywatne,Porsche,Cayenne,,2010,186 500 km,4 806 cm3,Benzyna,385 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-cayenne-porsche-cayenne-s-4-8-v8-385km-stan-idealny-salon-polska-ID6GeN4D.html
Porsche Macan,382364,PLN,Firma,Porsche,Macan,,2024,1 km,1 984 cm3,Benzyna,265 KM,SUV,Automatyczna,5,,Szary,Nowe,,4x4 (dołączany automatycznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-macan-ID6GoiEC.html
Porsche Cayenne,1114893,PLN,Firma,Porsche,Cayenne,,2023,10 km,3 996 cm3,Hybryda,739 KM,SUV,Automatyczna,5,,Szary,Nowe,,4x4 (dołączany automatycznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-cayenne-turbo-e-hybrid-ID6FMvuH.html
Porsche Cayenne Coupe,625177,PLN,Firma,Porsche,Cayenne,Coupe,2024,1 km,2 995 cm3,Benzyna,353 KM,SUV,Automatyczna,5,5,Biały,Nowe,,4x4 (dołączany automatycznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-cayenne-ID6GoiC7.html
Porsche 911 Carrera Cabriolet PDK,289000,PLN,Prywatne,Porsche,911,Carrera Cabriolet PDK,2012,104 000 km,3 436 cm3,Benzyna,350 KM,Kabriolet,Automatyczna,2,5,Złoty,Używane,Tak,Na tylne koła,"11,50 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-911-porsche-911-carrera-cabrio-znakomita-ID6Gk8SA.html
Porsche Panamera,113700,PLN,Prywatne,Porsche,Panamera,,2010,96 500 km,3 605 cm3,Benzyna,310 KM,Sedan,Automatyczna,5,4,Czarny,Używane,Tak,,11 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-panamera-w-bardzo-dobrym-stanie-ID6Gn6YJ.html
